Country,Unique_Customers,Unique_Invoices,Total_Quantity,Total_Revenue,Revenue_per_Customer
Australia,9,57,83901,138521.31,15391.256666666666
Austria,11,17,4881,10198.68,927.1527272727272
Bahrain,2,2,260,548.4,274.2
Belgium,25,98,23237,41196.34,1647.8536
Brazil,1,1,356,1143.6,1143.6
Canada,4,6,2763,3666.38,916.595
Channel Islands,9,26,9491,20450.44,2272.271111111111
Cyprus,8,16,6361,13590.38,1698.7975
Czech Republic,1,2,671,826.74,826.74
Denmark,9,18,8235,18955.34,2106.148888888889
EIRE,3,260,140275,265545.9,88515.3
European Community,1,4,499,1300.25,1300.25
Finland,12,41,10704,22546.08,1878.8400000000001
France,87,389,111471,209024.05,2402.5752873563215
Germany,94,457,119261,228867.14,2434.7568085106386
Greece,4,5,1557,4760.52,1190.13
Iceland,1,7,2458,4310.0,4310.0
Israel,3,5,4046,7221.69,2407.23
Italy,14,38,8112,17483.24,1248.8028571428572
Japan,8,19,26016,37416.37,4677.04625
Lebanon,1,1,386,1693.88,1693.88
Lithuania,1,4,652,1661.06,1661.06
Malta,2,5,970,2725.59,1362.795
Netherlands,9,94,200361,285446.34,31716.260000000002
Norway,10,36,19336,36165.44,3616.5440000000003
Poland,6,19,3684,7334.65,1222.4416666666666
Portugal,19,57,16122,33439.89,1759.9942105263158
RSA,1,1,351,1002.3100000000001,1002.3100000000001
Saudi Arabia,1,1,80,145.92,145.92
Singapore,1,7,5241,21279.29,21279.29
Spain,30,90,27940,61577.11,2052.5703333333336
Sweden,8,36,36083,38378.33,4797.29125
Switzerland,21,51,30082,56443.95,2687.807142857143
USA,4,5,2458,3580.39,895.0975
United Arab Emirates,2,3,982,1902.28,951.14
United Kingdom,3920,16646,4256740,7308391.5540000005,1864.3856005102043
Unspecified,4,8,1789,2667.07,666.7675
