CustomerID,Country,Avg_Recency_Days,Number_of_Invoices,Total_Revenue,R_score,F_score,M_score,RFM_Score
12346.0,United Kingdom,0.0,1,77183.6,5,1,5,515
12347.0,Iceland,2.0,7,4310.0,2,5,5,255
12348.0,Finland,9.4,4,1797.24,1,4,4,144
12349.0,Italy,0.0,1,1757.55,5,1,4,514
12350.0,Norway,0.0,1,334.4,5,1,2,512
12352.0,Norway,3.07,8,2506.04,2,5,5,255
12353.0,Bahrain,0.0,1,89.0,5,1,1,511
12354.0,Spain,0.0,1,1079.4,5,1,4,514
12355.0,Bahrain,0.0,1,459.4,5,1,2,512
12356.0,Portugal,5.21,3,2811.43,1,3,5,135
12357.0,Switzerland,0.0,1,6207.67,5,1,5,515
12358.0,Austria,8.28,2,1168.06,1,2,4,124
12359.0,Cyprus,1.11,4,6372.58,3,4,5,345
12360.0,Austria,1.16,3,2662.06,3,3,5,335
12361.0,Belgium,0.0,1,189.9,5,1,1,511
12362.0,Belgium,1.08,10,5226.23,3,5,5,355
12363.0,Unspecified,6.0,2,552.0,1,2,3,123
12364.0,Belgium,1.23,4,1313.1,3,4,4,344
12365.0,Cyprus,0.0,2,641.38,5,2,3,523
12367.0,Denmark,0.0,1,168.9,5,1,1,511
12370.0,Austria,0.25,1,277.2,4,1,2,412
12370.0,Cyprus,1.94,3,3268.49,2,3,5,235
12371.0,Switzerland,0.23,2,1887.96,4,2,4,424
12372.0,Denmark,4.39,3,1298.04,1,3,4,134
12373.0,Austria,0.0,1,364.6,5,1,2,512
12374.0,Austria,0.0,1,742.9300000000001,5,1,3,513
12375.0,Finland,5.44,2,457.5,1,2,2,122
12377.0,Switzerland,0.51,2,1628.12,3,2,4,324
12378.0,Switzerland,0.0,1,4008.62,5,1,5,515
12379.0,Belgium,2.26,2,852.24,2,2,3,223
12380.0,Belgium,1.57,4,2724.81,3,4,5,345
12381.0,Norway,1.31,5,1845.31,3,4,4,344
12383.0,Belgium,1.68,5,1850.56,2,4,4,244
12384.0,Switzerland,3.54,2,585.27,2,2,3,223
12386.0,Australia,3.22,2,401.9,2,2,2,222
12388.0,Australia,3.12,6,2780.66,2,4,5,245
12390.0,Belgium,0.0,1,549.84,5,1,3,513
12391.0,Cyprus,0.0,1,460.89,5,1,2,512
12393.0,Australia,4.11,4,1582.6000000000001,1,4,4,144
12394.0,Belgium,0.0,1,381.08,5,1,2,512
12394.0,Denmark,25.5,1,891.4,1,1,3,113
12395.0,Belgium,2.23,12,3018.63,2,5,5,255
12397.0,Belgium,0.79,2,2409.9,3,2,5,325
12398.0,Switzerland,0.0,1,1635.6599999999999,5,1,4,514
12399.0,Belgium,2.45,4,1108.65,2,4,4,244
12401.0,Belgium,0.0,1,84.3,5,1,1,511
12402.0,Belgium,0.0,1,225.6,5,1,1,511
12403.0,Denmark,0.0,1,427.7,5,1,2,512
12405.0,Finland,0.0,1,1710.39,5,1,4,514
12406.0,Denmark,1.55,2,3415.3,3,2,5,325
12407.0,Belgium,2.79,5,1708.1200000000001,2,4,4,244
12408.0,Belgium,2.17,5,2888.55,2,4,5,245
12409.0,Switzerland,0.95,3,11072.67,3,3,5,335
