StockCode,Description,Unique_Customers,Unique_Invoices,total_quantity,Total_Revenue
10002,INFLATABLE POLITICAL GLOBE ,40,49,823,699.55
10080,GROOVY CACTUS INFLATABLE,19,21,291,114.41
10120,DOGGY RUBBER,25,29,193,40.53
10123C,HEARTS WRAPPING TAPE ,3,3,5,3.25
10124A,SPOTS ON RED BOOKCOVER TAPE,5,5,16,6.72
10124G,ARMY CAMO BOOKCOVER TAPE,4,4,17,7.14
10125,MINI FUNKY DESIGN TAPES,49,61,1226,930.3
10133,COLOURING PENCILS BROWN TUBE,101,122,2384,1143.6100000000001
10135,COLOURING PENCILS BROWN TUBE,92,117,1938,1786.69
11001,ASSTD DESIGN RACING CAR PEN,44,62,1252,1953.0
15030,FAN BLACK FRAME ,11,12,143,41.47
15034,PAPER POCKET TRAVELING FAN ,70,91,6419,697.0600000000001
15036,ASSORTED COLOURS SILK FAN,194,324,21876,16044.44
15039,SANDALWOOD FAN,58,70,1559,1133.15
15044A,PINK PAPER PARASOL ,53,78,428,1248.2800000000002
15044B,BLUE PAPER PARASOL ,36,48,307,865.6500000000001
15044C,PURPLE PAPER PARASOL,43,60,272,782.4000000000001
15044D,RED PAPER PARASOL,53,73,630,1735.74
15056BL,EDWARDIAN PARASOL BLACK,142,291,2779,15218.67
15056N,EDWARDIAN PARASOL NATURAL,184,378,3826,20696.71
15056P,EDWARDIAN PARASOL PINK,87,135,769,4254.16
15058A,BLUE POLKADOT GARDEN PARASOL,40,51,148,1104.6
15058B,PINK POLKADOT GARDEN PARASOL,32,41,115,866.25
15058C,ICE CREAM DESIGN GARDEN PARASOL,26,30,193,894.35
15060B,FAIRY CAKE DESIGN UMBRELLA,68,95,411,1482.87
16008,SMALL FOLDING SCISSOR(POINTED EDGE),54,70,2892,360.71
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3,3,30,3.5999999999999996
16011,ANIMAL STICKERS,38,46,1773,372.33
16012,FOOD/DRINK SPONGE STICKERS,33,35,1244,261.24
16014,SMALL CHINESE STYLE SCISSOR,34,54,13328,4335.76
16015,MEDIUM CHINESE STYLE SCISSOR,19,24,662,289.98
16016,LARGE CHINESE STYLE SCISSOR,41,65,1273,1053.45
16020C,CLEAR STATIONERY BOX SET ,1,2,6,5.1
16033,MINI HIGHLIGHTER PENS,4,4,840,100.79999999999998
16043,POP ART PUSH DOWN RUBBER ,2,2,98,11.759999999999998
16045,POPART WOODEN PENCILS ASST,61,68,8900,380.0
16046,TEATIME PEN CASE & PENS,13,13,67,56.95
16048,TEATIME ROUND PENCIL SHARPENER ,41,47,1437,186.84
16049,TEATIME GEL PENS ASST,5,5,504,82.08
16052,TEATIME PUSH DOWN RUBBER,5,6,467,105.28999999999999
16054,POPART RECT PENCIL SHARPENER ASST,29,33,1166,140.52
16151A,FLOWERS HANDBAG blue and orange,3,3,49,61.25
16156L,"WRAP, CAROUSEL",17,18,475,199.5
16156S,WRAP PINK FAIRY CAKES ,135,167,5800,2331.0
16161G,WRAP BAD HAIR DAY,22,22,700,70.0
16161M,WRAP  PINK FLOCK,1,1,25,10.5
16161P,WRAP ENGLISH ROSE ,189,248,7226,2990.92
16161U,WRAP SUKI AND FRIENDS,105,134,4075,1687.5
16162L,THE KING GIFT BAG,5,6,17,11.05
16162M,THE KING GIFT BAG 25x24x12cm,6,7,26,10.92
16168M,FUNKY MONKEY GIFT BAG MEDIUM,19,20,329,138.18
16169E,WRAP 50'S  CHRISTMAS,143,149,4563,1892.46
16169K,WRAP FOLK ART,8,8,200,84.0
16169M,WRAP DAISY CARPET ,24,25,660,277.2
16169N,WRAP BLUE RUSSIAN FOLKART,1,1,25,10.5
16169P,WRAP GREEN RUSSIAN FOLKART ,2,2,50,21.0
16202A,PASTEL PINK PHOTO ALBUM ,2,2,7,3.5
16202B,PASTEL BLUE PHOTO ALBUM ,2,2,29,14.5
16202E,BLACK PHOTO ALBUM ,3,3,15,7.5
16206B,RED PURSE WITH PINK HEART,2,2,7,8.75
16207A,PINK STRAWBERRY HANDBAG ,4,5,13,38.35
16207B,PINK HEART RED HANDBAG,3,3,4,11.31
16216,LETTER SHAPE PENCIL SHARPENER,38,41,3316,227.14
16218,CARTOON  PENCIL SHARPENERS,43,50,3760,253.2
16219,HOUSE SHAPE PENCIL SHARPENER,41,47,2915,309.9
16225,RATTLE SNAKE EGGS,57,75,762,599.34
16235,RECYCLED PENCIL WITH RABBIT ERASER,68,80,2665,525.75
16236,KITTY PENCIL ERASERS,59,73,1296,266.56
16237,SLEEPING CAT ERASERS,109,162,4598,886.08
16238,PARTY TIME PENCIL ERASERS,61,78,1261,265.51
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2,2,7,7.85
16248B,BLUE HOLE PUNCH,7,7,13,16.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,7,9,31,27.91
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,29,38,445,156.53
16259,PIECE OF CAMO STATIONERY SET,28,31,3380,326.56
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1,1,72,20.88
17003,BROCADE RING PURSE ,136,206,22963,5980.05
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2,2,24,50.400000000000006
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,6,6,80,62.150000000000006
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,21,24,270,244.89999999999998
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,33,36,455,422.54999999999995
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,37,43,363,344.34999999999997
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,35,44,387,366.34999999999997
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,3,3,59,52.05
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,33,42,365,329.04999999999995
17013D,ORIGAMI ROSE INCENSE IN TUBE,10,11,532,257.88
17014A,ORIGAMI VANILLA INCENSE CONES,7,7,154,67.83
17021,NAMASTE SWAGAT INCENSE,30,47,2427,643.14
17028J,INCENSE BAZAAR PEACH,1,1,6,2.52
17038,PORCELAIN BUDAH INCENSE HOLDER,18,19,1501,138.1
17084A,TRANQUILITY MASALA INCENSE,7,7,200,42.0
